date,close,volume,open,high,low
3/27/12,1412.52,0,1416.55,1419.15,1411.95
3/26/12,1416.51,0,1397.11,1416.58,1397.11
3/23/12,1397.11,0,1392.78,1399.18,1386.87
3/22/12,1392.78,0,1402.89,1402.89,1388.73
3/21/12,1402.89,0,1405.52,1407.75,1400.64
3/20/12,1405.52,0,1409.59,1409.59,1397.68
3/19/12,1409.75,0,1404.17,1414,1402.43
3/16/12,1404.17,0,1402.55,1405.88,1401.47
3/15/12,1402.6,0,1394.17,1402.63,1392.78
3/14/12,1394.28,0,1395.95,1399.42,1389.97
3/13/12,1395.95,0,1371.92,1396.13,1371.92
3/12/12,1371.09,0,1370.78,1373.04,1366.69
3/9/12,1370.87,0,1365.97,1374.76,1365.97
3/8/12,1365.91,0,1352.65,1368.72,1352.65
3/7/12,1352.63,0,1343.39,1354.85,1343.39
3/6/12,1343.36,0,1363.63,1363.63,1340.03
3/5/12,1364.33,0,1369.59,1369.59,1359.13
3/2/12,1369.63,0,1374.09,1374.53,1366.42
3/1/12,1374.09,0,1365.9,1376.17,1365.9
2/29/12,1365.68,0,1372.2,1378.04,1363.81
2/28/12,1372.18,0,1367.56,1373.09,1365.97
2/27/12,1367.59,0,1365.2,1371.94,1354.92
2/24/12,1365.74,0,1363.46,1368.92,1363.46
2/23/12,1363.46,0,1357.53,1364.24,1352.28
2/22/12,1357.66,0,1362.11,1362.7,1355.53
2/21/12,1362.21,0,1361.22,1367.76,1358.11
2/17/12,1361.23,0,1358.06,1363.4,1357.24
2/16/12,1358.04,0,1342.61,1359.02,1341.22
2/15/12,1343.23,0,1350.52,1355.87,1340.8
2/14/12,1350.5,0,1351.3,1351.3,1340.83
2/13/12,1351.77,0,1343.06,1353.35,1343.06
2/10/12,1342.64,0,1351.21,1351.21,1337.35
2/9/12,1351.95,0,1349.97,1354.32,1344.63
2/8/12,1349.96,0,1347.04,1351,1341.95
2/7/12,1347.05,0,1344.33,1349.24,1335.92
2/6/12,1344.33,0,1344.32,1344.36,1337.52
2/3/12,1344.9,0,1326.21,1345.34,1326.21
2/2/12,1325.54,0,1324.24,1329.19,1321.57
2/1/12,1324.09,0,1312.45,1330.52,1312.45
1/31/12,1312.41,0,1313.53,1321.41,1306.69
1/30/12,1313.01,0,1316.16,1316.16,1300.49
1/27/12,1316.33,0,1318.25,1320.06,1311.72
1/26/12,1318.43,0,1326.28,1333.47,1313.6
1/25/12,1326.06,0,1314.4,1328.3,1307.65
1/24/12,1314.65,0,1315.96,1315.96,1306.06
1/23/12,1316,0,1315.29,1322.28,1309.89
1/20/12,1315.38,0,1314.49,1315.38,1309.17
1/19/12,1314.5,0,1308.07,1315.49,1308.07
1/18/12,1308.04,0,1293.65,1308.11,1290.99
1/17/12,1293.67,0,1290.22,1303,1290.22
1/13/12,1289.09,0,1294.82,1294.82,1277.58
1/12/12,1295.5,0,1292.48,1296.82,1285.77
1/11/12,1292.48,0,1292.02,1293.8,1285.41
1/10/12,1292.08,0,1280.77,1296.46,1280.77
1/9/12,1280.7,0,1277.83,1281.99,1274.55
1/6/12,1277.81,0,1280.93,1281.84,1273.34
1/5/12,1281.06,0,1277.3,1283.05,1265.26
1/4/12,1277.3,0,1277.03,1278.73,1268.1
1/3/12,1277.06,0,1258.86,1284.62,1258.86
12/30/11,1257.6,0,1262.82,1264.12,1257.46
12/29/11,1263.02,0,1249.75,1263.54,1249.75
12/28/11,1249.64,0,1265.38,1265.85,1248.64
12/27/11,1265.43,0,1265.02,1269.37,1262.3
12/23/11,1265.33,0,1254,1265.42,1254
12/22/11,1254,0,1243.72,1255.22,1243.72
12/21/11,1243.72,0,1241.25,1245.09,1229.51
12/20/11,1241.3,0,1205.72,1242.82,1205.72
12/19/11,1205.35,0,1219.74,1224.57,1202.37
12/16/11,1219.66,0,1216.09,1231.04,1215.2
12/15/11,1215.75,0,1212.12,1225.6,1212.12
12/14/11,1211.82,0,1225.73,1225.73,1209.47
12/13/11,1225.73,0,1236.83,1249.86,1219.43
12/12/11,1236.47,0,1255.05,1255.05,1227.25
12/9/11,1255.19,0,1234.48,1258.25,1234.48
12/8/11,1234.35,0,1260.87,1260.87,1231.47
12/7/11,1261.01,0,1258.14,1267.06,1244.8
12/6/11,1258.47,0,1257.19,1266.03,1253.03
12/5/11,1257.08,0,1244.33,1266.73,1244.33
12/2/11,1244.28,0,1246.03,1260.08,1243.35
12/1/11,1244.58,0,1246.91,1251.09,1239.73
11/30/11,1246.96,0,1196.72,1247.11,1196.72
11/29/11,1195.19,0,1192.56,1203.67,1191.8
11/28/11,1192.55,0,1158.67,1197.35,1158.67
11/25/11,1158.67,0,1161.41,1172.66,1158.66
11/23/11,1161.79,0,1187.48,1187.48,1161.79
11/22/11,1188.04,0,1192.98,1196.81,1181.65
11/21/11,1192.98,0,1215.62,1215.62,1183.16
11/18/11,1215.65,0,1216.19,1223.51,1211.36
11/17/11,1216.13,0,1236.56,1237.73,1209.43
11/16/11,1236.91,0,1257.81,1259.61,1235.67
11/15/11,1257.81,0,1251.7,1264.25,1244.34
11/14/11,1251.78,0,1263.85,1263.85,1246.68
11/11/11,1263.85,0,1240.12,1266.98,1240.12
11/10/11,1239.7,0,1229.59,1246.22,1227.7
11/9/11,1229.1,0,1275.18,1275.18,1226.64
11/8/11,1275.92,0,1261.12,1277.55,1254.99
11/7/11,1261.12,0,1253.21,1261.7,1240.75
11/4/11,1253.23,0,1260.82,1260.82,1238.92
11/3/11,1261.15,0,1238.25,1263.21,1234.81
11/2/11,1237.9,0,1219.62,1242.48,1219.62
11/1/11,1218.28,0,1251,1251,1215.42
10/31/11,1253.3,0,1284.96,1284.96,1253.16
10/28/11,1285.09,0,1284.39,1287.08,1277.01
10/27/11,1284.59,0,1243.97,1292.66,1243.97
10/26/11,1242,0,1229.17,1246.28,1221.06
10/25/11,1229.05,0,1254.19,1254.19,1226.79
10/24/11,1254.19,0,1238.72,1256.55,1238.72
10/21/11,1238.25,0,1215.39,1239.03,1215.39
10/20/11,1215.39,0,1209.92,1219.53,1197.34
10/19/11,1209.88,0,1223.46,1229.64,1206.31
10/18/11,1225.38,0,1200.75,1233.1,1191.48
10/17/11,1200.86,0,1224.47,1224.47,1198.55
10/14/11,1224.58,0,1205.65,1224.61,1205.65
10/13/11,1203.66,0,1206.96,1207.46,1190.58
10/12/11,1207.25,0,1196.19,1220.25,1196.19
10/11/11,1195.54,0,1194.6,1199.24,1187.3
10/10/11,1194.89,0,1158.15,1194.91,1158.15
10/7/11,1155.46,0,1165.03,1171.4,1150.26
10/6/11,1164.97,0,1144.11,1165.55,1134.95
10/5/11,1144.03,0,1124.03,1146.07,1115.68
10/4/11,1123.95,0,1097.42,1125.12,1074.77
10/3/11,1099.23,0,1131.21,1138.99,1098.92
9/30/11,1131.42,0,1159.93,1159.93,1131.34
9/29/11,1160.4,0,1151.74,1175.87,1139.93
9/28/11,1151.06,0,1175.39,1184.71,1150.4
9/27/11,1175.38,0,1163.32,1195.86,1163.32
9/26/11,1162.95,0,1136.91,1164.19,1131.07
9/23/11,1136.43,0,1128.82,1141.72,1121.36
9/22/11,1129.56,0,1164.55,1164.55,1114.22
9/21/11,1166.76,0,1203.63,1206.3,1166.21
9/20/11,1202.09,0,1204.5,1220.39,1201.29
9/19/11,1204.09,0,1214.99,1214.99,1188.36
9/16/11,1216.01,0,1209.21,1220.06,1204.46
9/15/11,1209.11,0,1189.44,1209.11,1189.44
9/14/11,1188.68,0,1173.32,1202.38,1162.73
9/13/11,1172.87,0,1162.59,1176.41,1157.44
9/12/11,1162.27,0,1153.5,1162.52,1136.07
9/9/11,1154.23,0,1185.37,1185.37,1148.37
9/8/11,1185.9,0,1197.98,1204.4,1183.34
9/7/11,1198.62,0,1165.85,1198.62,1165.85
9/6/11,1165.24,0,1173.97,1173.97,1140.13
9/2/11,1173.97,0,1203.9,1203.9,1170.56
9/1/11,1204.42,0,1219.12,1229.29,1203.85
8/31/11,1218.89,0,1213,1230.71,1209.35
8/30/11,1212.92,0,1209.76,1220.1,1195.77
8/29/11,1210.08,0,1177.91,1210.28,1177.91
8/26/11,1176.8,0,1158.85,1181.23,1135.91
8/25/11,1159.27,0,1176.69,1190.68,1155.47
8/24/11,1177.6,0,1162.16,1178.56,1156.3
8/23/11,1162.35,0,1124.36,1162.35,1122.91
8/22/11,1123.82,0,1123.55,1145.49,1121.09
8/19/11,1123.53,0,1140.47,1154.54,1122.05
8/18/11,1140.65,0,1189.62,1189.62,1131.03
8/17/11,1193.89,0,1192.89,1208.47,1184.36
8/16/11,1192.76,0,1204.22,1204.22,1180.53
8/15/11,1204.49,0,1178.86,1204.49,1178.86
8/12/11,1178.81,0,1172.87,1189.04,1170.74
8/11/11,1172.64,0,1121.3,1186.29,1121.3
8/10/11,1120.76,0,1171.77,1171.77,1118.01
8/9/11,1172.53,0,1120.23,1172.88,1101.54
8/8/11,1119.46,0,1198.48,1198.48,1119.28
8/5/11,1199.38,0,1200.28,1218.11,1168.09
8/4/11,1200.07,0,1260.23,1260.23,1199.54
8/3/11,1260.34,0,1254.25,1261.2,1234.56
8/2/11,1254.05,0,1286.56,1286.56,1254.03
8/1/11,1286.94,0,1292.59,1307.38,1274.73
7/29/11,1292.28,0,1300.12,1304.16,1282.86
7/28/11,1300.67,0,1304.84,1316.32,1299.16
7/27/11,1304.89,0,1331.91,1331.91,1303.49
7/26/11,1331.94,0,1337.39,1338.51,1329.59
7/25/11,1337.43,0,1344.32,1344.32,1331.09
7/22/11,1345.02,0,1343.8,1346.1,1336.95
7/21/11,1343.8,0,1325.65,1347,1325.65
7/20/11,1325.84,0,1328.66,1330.43,1323.65
7/19/11,1326.73,0,1307.07,1328.14,1307.07
7/18/11,1305.44,0,1315.94,1315.94,1295.92
7/15/11,1316.14,0,1308.87,1317.7,1307.52
7/14/11,1308.87,0,1317.74,1326.88,1306.51
7/13/11,1317.72,0,1314.45,1331.48,1314.45
7/12/11,1313.64,0,1319.61,1327.17,1313.33
7/11/11,1319.49,0,1343.31,1343.31,1316.42
7/8/11,1343.8,0,1352.39,1352.39,1333.71
7/7/11,1353.22,0,1339.62,1356.48,1339.62
7/6/11,1339.22,0,1337.56,1340.94,1330.92
7/5/11,1337.88,0,1339.59,1340.89,1334.3
7/1/11,1339.67,0,1320.64,1341.01,1318.18
6/30/11,1320.64,0,1307.64,1321.97,1307.64
6/29/11,1307.41,0,1296.85,1309.21,1296.85
6/28/11,1296.67,0,1280.21,1296.8,1280.21
6/27/11,1280.1,0,1268.44,1284.91,1267.53
6/24/11,1268.45,0,1283.04,1293.93,1267.24
6/23/11,1283.5,0,1286.6,1286.6,1262.87
6/22/11,1287.14,0,1295.48,1298.61,1286.79
6/21/11,1295.52,0,1278.4,1297.62,1278.4
6/20/11,1278.36,0,1271.5,1280.42,1267.56
6/17/11,1271.5,0,1268.58,1279.82,1267.4
6/16/11,1267.64,0,1265.53,1274.11,1258.07
6/15/11,1265.42,0,1287.87,1287.87,1261.9
6/14/11,1287.87,0,1272.22,1292.5,1272.22
6/13/11,1271.83,0,1271.31,1277.04,1265.64
6/10/11,1270.98,0,1288.6,1288.6,1268.28
6/9/11,1289,0,1279.63,1294.54,1279.63
6/8/11,1279.56,0,1284.63,1287.04,1277.42
6/7/11,1284.94,0,1286.31,1296.22,1284.74
6/6/11,1286.17,0,1300.26,1300.26,1284.72
6/3/11,1300.16,0,1312.94,1312.94,1297.9
6/2/11,1312.94,0,1314.55,1318.03,1305.61
6/1/11,1314.55,0,1345.2,1345.2,1313.71
5/31/11,1345.2,0,1331.1,1345.2,1331.1
5/27/11,1331.1,0,1325.69,1334.62,1325.69
5/26/11,1325.69,0,1320.64,1328.51,1314.41
5/25/11,1320.47,0,1316.36,1325.86,1311.8
5/24/11,1316.28,0,1317.7,1323.72,1313.87
5/23/11,1317.37,0,1333.07,1333.07,1312.88
5/20/11,1333.27,0,1342,1342,1330.67
5/19/11,1343.6,0,1342.4,1346.82,1336.36
5/18/11,1340.68,0,1328.54,1341.82,1326.59
5/17/11,1328.98,0,1326.1,1330.42,1318.51
5/16/11,1329.47,0,1334.77,1343.33,1327.32
5/13/11,1337.77,0,1348.69,1350.47,1333.36
5/12/11,1348.65,0,1339.39,1351.05,1332.03
5/11/11,1342.08,0,1354.51,1354.51,1336.36
5/10/11,1357.16,0,1348.34,1359.44,1348.34
5/9/11,1346.29,0,1340.2,1349.44,1338.64
5/6/11,1340.02,0,1340.24,1354.36,1335.58
5/5/11,1335.1,0,1344.16,1348,1329.17
5/4/11,1347.32,0,1355.9,1355.9,1341.5
5/3/11,1356.62,0,1359.76,1360.84,1349.52
5/2/11,1361.22,0,1365.21,1370.58,1358.59
4/29/11,1363.61,0,1360.14,1364.56,1358.69
4/28/11,1360.48,0,1353.86,1361.71,1353.6
4/27/11,1355.66,0,1348.43,1357.49,1344.25
4/26/11,1347.24,0,1336.75,1349.55,1336.75
4/25/11,1335.25,0,1337.14,1337.55,1331.47
4/21/11,1337.38,0,1333.23,1337.49,1332.83
4/20/11,1330.36,0,1319.12,1332.66,1319.12
4/19/11,1312.62,0,1305.99,1312.7,1303.97
4/18/11,1305.14,0,1313.35,1313.35,1294.7
4/15/11,1319.68,0,1314.54,1322.88,1313.68
4/14/11,1314.52,0,1311.13,1316.79,1302.42
4/13/11,1314.41,0,1314.03,1321.35,1309.19
4/12/11,1314.16,0,1321.96,1321.96,1309.51
4/11/11,1324.46,0,1329.01,1333.77,1321.06
4/8/11,1328.17,0,1336.16,1339.46,1322.94
4/7/11,1333.51,0,1334.82,1338.8,1326.56
4/6/11,1335.54,0,1335.94,1339.38,1331.09
4/5/11,1332.63,0,1332.03,1338.21,1330.03
4/4/11,1332.87,0,1333.56,1336.74,1329.1
4/1/11,1332.41,0,1329.48,1337.85,1328.89
3/31/11,1325.83,0,1327.44,1329.77,1325.03
3/30/11,1328.26,0,1321.89,1331.74,1321.89
3/29/11,1319.44,0,1309.37,1319.45,1305.26
3/28/11,1310.19,0,1315.45,1319.74,1310.19
3/25/11,1313.8,0,1311.8,1319.18,1310.15
3/24/11,1309.66,0,1300.61,1311.34,1297.74
3/23/11,1297.54,0,1292.19,1300.51,1284.05
3/22/11,1293.77,0,1298.29,1299.35,1292.7
3/21/11,1298.38,0,1281.65,1300.58,1281.65
3/18/11,1279.2,0,1276.71,1288.88,1276.18
3/17/11,1273.72,0,1261.61,1278.88,1261.61
3/16/11,1256.88,0,1279.46,1280.91,1249.05
3/15/11,1281.87,0,1288.46,1288.46,1261.12
3/14/11,1296.39,0,1301.19,1301.19,1286.37
3/11/11,1304.28,0,1293.43,1308.35,1291.99
3/10/11,1295.11,0,1315.72,1315.72,1294.21
3/9/11,1320.02,0,1319.92,1323.21,1312.27
3/8/11,1321.82,0,1311.05,1325.74,1306.86
3/7/11,1310.13,0,1322.72,1327.68,1303.99
3/4/11,1321.15,0,1330.73,1331.08,1312.59
3/3/11,1330.97,0,1312.37,1332.28,1312.37
3/2/11,1308.44,0,1305.47,1314.19,1302.58
3/1/11,1306.33,0,1328.64,1332.09,1306.14
2/28/11,1327.22,0,1321.61,1329.38,1320.55
2/25/11,1319.88,0,1307.34,1320.61,1307.34
2/24/11,1306.1,0,1307.09,1310.91,1294.26
2/23/11,1307.4,0,1315.44,1317.91,1299.55
2/22/11,1315.44,0,1338.91,1338.91,1312.33
2/18/11,1343.01,0,1340.38,1344.07,1338.12
2/17/11,1340.43,0,1334.37,1341.5,1331
2/16/11,1336.32,0,1329.51,1337.61,1329.51
2/15/11,1328.01,0,1330.43,1330.43,1324.61
2/14/11,1332.32,0,1328.73,1332.96,1326.9
2/11/11,1329.15,0,1318.66,1330.79,1316.08
2/10/11,1321.87,0,1318.13,1322.78,1311.74
2/9/11,1320.88,0,1322.48,1324.54,1314.89
2/8/11,1324.57,0,1318.76,1324.87,1316.03
2/7/11,1319.05,0,1311.85,1322.85,1311.85
2/4/11,1310.87,0,1307.01,1311,1301.67
2/3/11,1307.1,0,1302.77,1308.6,1294.83
2/2/11,1304.03,0,1305.91,1307.61,1302.62
2/1/11,1307.59,0,1289.14,1308.86,1289.14
1/31/11,1286.12,0,1276.5,1287.17,1276.5
1/28/11,1276.34,0,1299.63,1302.67,1275.1
1/27/11,1299.54,0,1297.51,1301.29,1294.41
1/26/11,1296.63,0,1291.97,1299.74,1291.97
1/25/11,1291.18,0,1288.17,1291.26,1281.07
1/24/11,1290.84,0,1283.29,1291.93,1282.47
1/21/11,1283.35,0,1283.63,1291.21,1282.07
1/20/11,1280.26,0,1280.85,1283.35,1271.26
1/19/11,1281.92,0,1294.52,1294.6,1278.92
1/18/11,1295.02,0,1293.22,1296.06,1290.16
1/14/11,1293.24,0,1282.9,1293.24,1281.24
1/13/11,1283.76,0,1285.78,1286.7,1280.47
1/12/11,1285.96,0,1275.65,1286.87,1275.65
1/11/11,1274.48,0,1272.58,1277.25,1269.62
1/10/11,1269.75,0,1270.84,1271.52,1262.18
1/7/11,1271.5,0,1274.41,1276.83,1261.7
1/6/11,1273.85,0,1276.29,1278.17,1270.43
1/5/11,1276.56,0,1268.78,1277.63,1265.36
1/4/11,1270.2,0,1272.95,1274.12,1262.66
1/3/11,1271.89,0,1257.62,1276.17,1257.62
12/31/10,1258.76,0,1256.76,1259.34,1254.19
12/30/10,1257.88,0,1259.44,1261.09,1256.32
12/29/10,1259.78,0,1258.78,1262.6,1258.78
12/28/10,1258.51,0,1259.1,1259.9,1256.22
12/27/10,1257.54,0,1254.66,1258.43,1251.48
